ProteinGroupPairID,LinkIDs,PeptidePairIDs,PSMIDs,Protein1,Name1,Descriptions1,isDecoy1,Protein2,Name2,Description2,isDecoy2,Crosslinker,Score,isDecoy,isTT,isTD,isDD,count PSMs,count peptide pairs,count links,fdrGroup,fdr,ifdr,PEP,,top link fdr,top peptide fdr,top psm_fdr
150,145;603;210;280;423;40,1418;446;1615;284;1244;1777;713;1680;1539;359,Kojak_701;Kojak_749;Kojak_369;Kojak_16;Kojak_58;Kojak_15;Kojak_301;Kojak_13;Kojak_2011;Kojak_2202;Kojak_1553;Kojak_1506;Kojak_972;Kojak_973;Kojak_174;Kojak_286;Kojak_1025;Kojak_1026;Kojak_1547;Kojak_2154;Kojak_2199,P0A7V3,,,false,P0A7V0,,,false,,43.587,false,true,false,false,21,10,6,Between,0,0,0.022,,0,0,0
557,663,3800,Kojak_2593,P17846,,,false,P38038,,,false,,43.41,false,true,false,false,1,1,1,Between,0,0,0.022,,0,0,0
555,660,3788,Kojak_1856,P60438,,,false,P0A847,,,false,,41.34,false,true,false,false,1,1,1,Between,0,0,0.022,,0,0,0
151,211;659,807;689,Kojak_1375;Kojak_1387;Kojak_2069;Kojak_2919,P0ABD5,,,false,P0A9Q5,,,false,,41.049,false,true,false,false,4,2,2,Between,0,0,0.022,,0,0,0
553,609,1888;3235,Kojak_1528;Kojak_1526;Kojak_3912;Kojak_3913,P60624,,,false,P02413,,,false,,39.997,false,true,false,false,4,2,1,Between,0,0,0.022,,0,0,0
382,524;657;568;472,453;698;226;295,Kojak_1795;Kojak_455;Kojak_1574;Kojak_1524;Kojak_28,P0A9M0,,,false,P02359,,,false,,39.383,false,true,false,false,5,4,4,Between,0,0,0.022,,0,0,0
548,653,1164,Kojak_3884;Kojak_3885,P0A6Y1,,,false,P45552;P0A7U7,;,;,false,,35.641,false,true,false,false,2,1,1,Between,0,0,0.022,,0,0,0
546,650,3767,Kojak_3136,P0ACF4,,,false,P0A7N9,,,false,,33.34,false,true,false,false,1,1,1,Between,0,0,0.022,,0,0,0
3,32;631;514,260;224;1201;1960;2345,Kojak_115;Kojak_1691;Kojak_3527;Kojak_2091;Kojak_1316;Kojak_3432;Kojak_2413;Kojak_3434;Kojak_2809;Kojak_2761,P0AG67,,,false,P0A7R9,,,false,,32.783,false,true,false,false,10,5,3,Between,0,0,0.022,,0,0,0
362,369;269,3659;1976;706;957,Kojak_535;Kojak_3157;Kojak_3158;Kojak_2347;Kojak_208,P0ACF4,,,false,P0A7R1,,,false,,32.753,false,true,false,false,5,4,2,Between,0,0,0.022,,0,0,0
381,471;587;462,892;305;2450;1884,Kojak_3798;Kojak_2122;Kojak_1394;Kojak_951;Kojak_2028;Kojak_1984,P0A7R1,,,false,P0A7M2,,,false,,30.315,false,true,false,false,6,4,3,Between,0,0,0.023,,0,0,0
277,505;352;646,3362;2545;3755,Kojak_1087;Kojak_3925;Kojak_1089,P02359,,,false,P0C018,,,false,,29.603,false,true,false,false,3,3,3,Between,0,0,0.023,,0,0,0
540,644,3239,Kojak_2227;Kojak_2296,P60624,,,false,P60723,,,false,,28.72,false,true,false,false,2,1,1,Between,0,0,0.023,,0,0,0
718,17;12;10,55;24;138,Kojak_2272;Kojak_3151;Kojak_2273;Kojak_80;Kojak_40,P69908;P69910,;,;,false,P69908,,,false,,28.375,false,true,false,false,5,3,3,Self,0,0,0,,0,0,0
535,381,707;770,Kojak_2875;Kojak_1966;Kojak_2614;Kojak_2612;Kojak_2584,P0A7Z4,,,false,P0AFF6,,,false,,26.108,false,true,false,false,5,2,1,Between,0,0,0.023,,0,0,0
82,301;489;129;636,1083;3284;1200;2634,Kojak_318;Kojak_754;Kojak_3095;Kojak_1125;Kojak_737;Kojak_735,P02359,,,false,P0A7R9,,,false,,24.367,false,true,false,false,6,4,4,Between,0,0,0.023,,0,0,0
532,637,3738,Kojak_1340,P02358,,,false,P45577,,,false,,23.86,false,true,false,false,1,1,1,Between,0,0,0.023,,0,0,0
528,401,537;1386;2442,Kojak_3383;Kojak_3338;Kojak_3377;Kojak_597,P0ACF4,,,false,P0ADZ4,,,false,,22.247,false,true,false,false,4,3,1,Between,0,0,0.023,,0,0,0
60,103;627;126;382,1038;1101;3218;839;1743,Kojak_1642;Kojak_1644;Kojak_1643;Kojak_2720;Kojak_3206;Kojak_2307;Kojak_2306,P02358,,,false,P0ACF4,,,false,,21.002,false,true,false,false,7,5,4,Between,0,0,0.023,,0,0,0
522,625,2232,Kojak_2870;Kojak_2871,P0AG63,,,false,P0A6X7,,,false,,19.574,false,true,false,false,2,1,1,Between,0,0,0.023,,0,0,0
294,624;372,3706;1069,Kojak_1202;Kojak_2316;Kojak_2348;Kojak_2315,P0A7L0,,,false,P0A7N9,,,false,,18.777,false,true,false,false,4,2,2,Between,0,0,0.023,,0,0,0
518,621,3702,Kojak_3368,P0AA10,,,false,P62399,,,false,,18.31,false,true,false,false,1,1,1,Between,0,0,0.023,,0,0,0
100,48;467;149,1017;263;641;2917;1389,Kojak_2377;Kojak_629;Kojak_632;Kojak_3371;Kojak_2781,P0A7S3,,,false,P0A705,,,false,,17.652,false,true,false,false,5,5,3,Between,0,0,0.023,,0,0,0
94,141;182;618;329;359,402;1569;3698;1116;784,Kojak_1921;Kojak_2662;Kojak_3892;Kojak_1645;Kojak_3137;Kojak_3085,P0A6Y1,,,false,P62399,,,false,,17.55,false,true,false,false,6,5,5,Between,0,0,0.023,,0,0,0
139,551;208;197;611,2355;513;554;1757,Kojak_220;Kojak_156;Kojak_462;Kojak_213;Kojak_2635;Kojak_1010,P0AD33,,,false,P09373,,,false,,17.431,false,true,false,false,6,4,4,Between,0,0,0.023,,0,0,0
87,166;134;616,542;1238;3691,Kojak_112;Kojak_236;Kojak_32,P0A7V3,,,false,P0AG67,,,false,,17.13,false,true,false,false,3,3,3,Between,0,0,0.023,,0,0,0
511,615,327,Kojak_3345;Kojak_3381,P60422,,,false,P62399,,,false,,16.641,false,true,false,false,2,1,1,Between,0,0,0.023,,0,0,0
510,612,3416,Kojak_2965,ENTRAP_sp|P56589|PEX3_HUMAN,,,false,ENTRAP_sp|Q8N4F7|RN175_HUMAN,,,false,,15.3,false,true,false,false,1,1,1,Between,0,0,0.023,,0,0,0
174,610;242,234;1870,Kojak_3268;Kojak_3083;Kojak_2823;Kojak_289,P0A8T7,,,false,P00579,,,false,,15.276,false,true,false,false,4,2,2,Between,0,0,0.023,,0,0,0
186,607;337;255,2499;2475;2023,Kojak_2356;Kojak_2322;Kojak_230;Kojak_231,P00579,,,false,P0ACF4,,,false,,15.038,false,true,false,false,4,3,3,Between,0,0,0.023,,0,0,0
504,604,684,Kojak_3201,P0A9G6,,,false,P0ACC7,,,false,,14.41,false,true,false,false,1,1,1,Between,0,0,0.023,,0,0,0
502,602,3654,Kojak_2180,P0A7Z4,,,false,P0A800,,,false,,13.81,false,true,false,false,1,1,1,Between,0,0,0.023,,0,0,0
57,357;567;326;99;575,2569;2310;282;1005;272,Kojak_2514;Kojak_2426;Kojak_2387;Kojak_3393;Kojak_2779;Kojak_2778,P0A7U3,,,false,P0A705,,,false,,13.808,false,true,false,false,6,5,5,Between,0,0,0.023,,0,0,0
193,543;263;284;387;518;378;536,3480;2053;2151;240;363;2700;2035,Kojak_3889;Kojak_3187;Kojak_1305;Kojak_779;Kojak_1803;Kojak_3915;Kojak_3880;Kojak_2571,P0A705,,,false,P0A7S9,,,false,,13.215,false,true,false,false,8,7,7,Between,0,0,0.023,,0,0,0
227,395;335;553;300,237;575;2470;913;1444,Kojak_3120;Kojak_2254;Kojak_322;Kojak_321;Kojak_1119;Kojak_35;Kojak_423,P02359,,,false,P67910,,,false,,13.117,false,true,false,false,7,5,4,Between,0,0,0.023,,0,0,0
274,349;595,2518;3640,Kojak_1018;Kojak_592,P0ACF4,,,false,P0A7K6,,,false,,11.956,false,true,false,false,2,2,2,Between,0,0,0.023,,0,0,0
495,528,3575;2176,Kojak_819;Kojak_3587,P08839,,,false,P0A8M6,,,false,,11.85,false,true,false,false,2,2,1,Between,0,0,0.023,,0,0,0
29,61;593,643;3637,Kojak_169;Kojak_3592,P21156,,,false,P23845,,,false,,11.48,false,true,false,false,2,2,2,Between,0,0,0.023,,0,0,0
