,search_engine,TT,TD,DD,EE(TT),EH(TT),HH(TT),EE,EH,HH,FDR(Decoy),FDR(Entrapment),TT_FPR(Entrapment),TT_possible,TT_impossible,TT_EE_impossible,TT_impossible%
0,Kojak,1613,102,9,1561,50,2,1612,100,12,0.05765654060756355,0.05459057071960298,0.06199628022318661,1460,153,101,9.48543087414755
1,MangoCometXlinkProphet,1059,53,0,1015,44,0,1044,68,0,0.05004721435316336,0.06513409961685823,0.08309726156751653,985,74,30,6.987724268177531
2,MeroX,495,15,0,343,128,24,350,134,26,0.030303030303030304,0.30857142857142855,0.5171717171717172,278,217,65,43.83838383838384
3,OpenPepXL,226,36,5,159,67,0,174,92,1,0.13716814159292035,0.5229885057471264,0.5929203539823009,134,92,25,40.70796460176991
4,pLink2,646,79,24,471,163,12,507,218,24,0.08513931888544891,0.3826429980276134,0.5046439628482973,415,231,56,35.758513931888544
5,ProteinProspector,683,104,0,622,61,0,688,98,1,0.15226939970717424,0.14098837209302326,0.17862371888726208,586,97,36,14.202049780380676
6,xiSEARCH,880,68,1,849,31,0,877,72,0,0.07613636363636364,0.08209806157354618,0.07045454545454545,839,41,10,4.659090909090913
7,XlinkX PD2.5,6358,12,347,2684,3396,278,2748,3580,389,0.05646429694872601,1.1612081513828238,1.0682604592639195,2412,3946,272,62.06354199433783
8,XlinkX PD3.2,586,67,0,548,38,0,587,66,0,0.11433447098976109,0.11243611584327087,0.1296928327645051,527,59,21,10.068259385665534
