,search_engine,TT,TD,DD,EE(TT),EH(TT),HH(TT),EE,EH,HH,FDR(Decoy),FDR(Entrapment),TT_FPR(Entrapment),TT_possible,TT_impossible,TT_EE_impossible,TT_impossible%
0,Kojak,13204,259,11,13030,172,2,13138,321,15,0.018782187215995155,0.02329121631907444,0.02605271129960618,12905,299,125,2.264465313541353
1,MangoCometXlinkProphet,11970,222,0,11741,229,0,11857,335,0,0.018546365914786967,0.02825335245002952,0.03826232247284879,11561,409,180,3.416875522138685
2,MeroX,1773,29,0,1467,272,34,1482,284,36,0.016356457980823462,0.16734143049932523,0.3068245910885505,1358,415,109,23.406655386350817
3,OpenPepXL,437,41,5,346,91,0,364,118,1,0.08237986270022883,0.32142857142857145,0.41647597254004576,315,122,31,27.91762013729977
4,pLink2,2946,91,25,2717,212,17,2757,276,29,0.02240325865580448,0.08959013420384476,0.14392396469789545,2648,298,69,10.11541072640869
5,ProteinProspector,9377,175,0,9251,126,0,9348,203,1,0.01866268529380399,0.02160890029952931,0.026874266823077742,9160,217,91,2.3141729764316943
6,xiSEARCH,4833,97,1,4801,32,0,4842,89,0,0.019863438857852266,0.018380834365964476,0.01324229257190151,4787,46,14,0.9517897786054164
7,XlinkX PD2.5,21543,18,523,13881,7328,334,13998,7602,484,0.025112565566541335,0.5085012144592085,0.6803137910226059,13361,8182,520,37.97985424499838
8,XlinkX PD3.2,5913,126,0,5831,82,0,5904,135,0,0.0213089802130898,0.022865853658536585,0.027735498055132757,5796,117,35,1.9786910197869156
