,search_engine,TT,TD,DD,EH(TT),HH(TT),FDR(Decoy),FDR(Entrapment)
0,Kojak,310,5,1,8,2,0.012903225806451613,0.05161290322580645
1,MangoCometXlinkProphet,1059,53,0,44,0,0.05004721435316336,0.08309726156751653
2,MeroX,495,15,0,128,24,0.030303030303030304,0.5171717171717172
3,OpenPepXL,226,36,5,67,0,0.13716814159292035,0.5929203539823009
4,pLink2,646,79,24,163,12,0.08513931888544891,0.5046439628482973
5,ProteinProspector,532,63,2,62,1,0.11466165413533834,0.23308270676691728
6,xiSEARCH,350,7,0,2,0,0.02,0.011428571428571429
7,XlinkX,6358,12,347,3396,278,0.05646429694872601,1.0682604592639195
