protein_pair	probability	status
sp|P0A705|IF2_ECOLI-sp|P0AG59|RS14_ECOLI	1.00	target_target
sp|P45577|PROQ_ECOLI-sp|P68679|RS21_ECOLI	1.00	target_target
sp|P0A7V8|RS4_ECOLI-sp|P0ACF4|DBHB_ECOLI	1.00	target_target
sp|P0A6X7|IHFA_ECOLI-sp|P0A7U3|RS19_ECOLI	1.00	target_target
sp|P0A6Y8|DNAK_ECOLI-sp|P69910|DCEB_ECOLI,sp|P69908|DCEA_ECOLI	1.00	target_target
sp|P02358|RS6_ECOLI-sp|P0A7S3|RS12_ECOLI	1.00	target_target
sp|P0A7Z4|RPOA_ECOLI-sp|P0ACF4|DBHB_ECOLI	1.00	target_target
sp|P0A7T3|RS16_ECOLI-sp|P0ACF0|DBHA_ECOLI	1.00	target_target
sp|P0ACF4|DBHB_ECOLI-sp|P45577|PROQ_ECOLI	1.00	target_target
sp|P0A7K2|RL7_ECOLI-sp|P0A7R1|RL9_ECOLI	1.00	target_target
sp|P0ABA0|ATPF_ECOLI-sp|P0ABB4|ATPB_ECOLI	1.00	target_target
sp|P0A847|TGT_ECOLI-sp|P0AA10|RL13_ECOLI	1.00	target_target
sp|P08839|PT1_ECOLI-sp|P0A8M6|YEEX_ECOLI	1.00	target_target
sp|P29217|YCEH_ECOLI-sp|P32695|DUSA_ECOLI	1.00	target_target
sp|P0A6Y1|IHFB_ECOLI-sp|P0AG59|RS14_ECOLI	1.00	target_target
sp|P0ACF0|DBHA_ECOLI-sp|P0AG30|RHO_ECOLI	1.00	target_target
sp|P0A7U7|RS20_ECOLI-sp|P0ACF0|DBHA_ECOLI	1.00	target_target
sp|P22523|MUKB_ECOLI-sp|P60293|MUKF_ECOLI	1.00	target_target
sp|P0A6R3|FIS_ECOLI-sp|P62399|RL5_ECOLI	1.00	target_target
sp|P0A705|IF2_ECOLI-sp|P0A7R5|RS10_ECOLI	1.00	target_target
sp|P0A800|RPOZ_ECOLI-sp|P0A8T7|RPOC_ECOLI	1.00	target_target
sp|P02359|RS7_ECOLI-sp|P0A7U3|RS19_ECOLI	1.00	target_target
sp|P00579|RPOD_ECOLI-sp|P0ACF4|DBHB_ECOLI	1.00	target_target
sp|P02359|RS7_ECOLI-sp|P0A7S9|RS13_ECOLI	1.00	target_target
sp|P0A7U3|RS19_ECOLI-sp|P0AG67|RS1_ECOLI	1.00	target_target
sp|P0A8T7|RPOC_ECOLI-sp|P30128|GREB_ECOLI	1.00	target_target
sp|P0A8V2|RPOB_ECOLI-sp|P0AG59|RS14_ECOLI	1.00	target_target
sp|P0A7S3|RS12_ECOLI-sp|P0AEU7|SKP_ECOLI	1.00	target_target
sp|P0A705|IF2_ECOLI-sp|P69222|IF1_ECOLI	1.00	target_target
sp|P0A8N3|SYK1_ECOLI-sp|P0A9G6|ACEA_ECOLI	1.00	target_target
sp|P69908|DCEA_ECOLI-sp|P69910|DCEB_ECOLI	1.00	target_target
sp|P0A705|IF2_ECOLI-sp|P0A7S9|RS13_ECOLI	1.00	target_target
sp|P0A8E5|YACL_ECOLI-sp|P0A8T7|RPOC_ECOLI	1.00	target_target
sp|P0A7V3|RS3_ECOLI-sp|Q46901|CSE1_ECOLI	1.00	target_target
sp|P0AFG6|ODO2_ECOLI-sp|Q9BXR5|TLR10_HUMAN	1.00	target_target
sp|P0A6Y8|DNAK_ECOLI-sp|P69797|PTNAB_ECOLI	1.00	target_target
sp|P0A705|IF2_ECOLI-sp|P0A7V8|RS4_ECOLI	1.00	target_target
sp|P0A7Z4|RPOA_ECOLI-sp|P0A800|RPOZ_ECOLI	1.00	target_target
sp|P0AG59|RS14_ECOLI-sp|P45577|PROQ_ECOLI	1.00	target_target
sp|P0A7S3|RS12_ECOLI-sp|P33136|OPGG_ECOLI	1.00	target_target
sp|P60422|RL2_ECOLI-sp|P62399|RL5_ECOLI	1.00	target_target
sp|P0A7N9|RL33_ECOLI-sp|P0ACF0|DBHA_ECOLI	1.00	target_target
sp|P0A7S3|RS12_ECOLI-sp|P77718|THII_ECOLI	1.00	target_target
sp|P0A705|IF2_ECOLI-sp|P0A7U3|RS19_ECOLI	1.00	target_target
sp|P0ACF0|DBHA_ECOLI-sp|P0ADZ4|RS15_ECOLI	1.00	target_target
sp|P0A7J3|RL10_ECOLI-sp|P0A7K2|RL7_ECOLI	1.00	target_target
sp|P0A7S3|RS12_ECOLI-sp|P0ACF4|DBHB_ECOLI	1.00	target_target
sp|P09831|GLTB_ECOLI-sp|P09832|GLTD_ECOLI	1.00	target_target
sp|P0AGE9|SUCD_ECOLI-sp|Q9BYF1|ACE2_HUMAN	1.00	target_target
sp|P45577|PROQ_ECOLI-sp|P60422|RL2_ECOLI	1.00	target_target
sp|P0A7V3|RS3_ECOLI-sp|P45577|PROQ_ECOLI	1.00	target_target
sp|P0A6Y1|IHFB_ECOLI-sp|P0ACF0|DBHA_ECOLI	1.00	target_target
sp|P0ACF0|DBHA_ECOLI-sp|P0AG59|RS14_ECOLI	1.00	target_target
sp|P0A7N4|RL32_ECOLI-sp|P0AG44|RL17_ECOLI	1.00	target_target
sp|P0A7L8|RL27_ECOLI-sp|P0C018|RL18_ECOLI	1.00	target_target
sp|P0A7R5|RS10_ECOLI-sp|P0A7V3|RS3_ECOLI	1.00	target_target
sp|P0A7V3|RS3_ECOLI-sp|P0ACF4|DBHB_ECOLI	1.00	target_target
sp|P0A9P0|DLDH_ECOLI-sp|P0AFG6|ODO2_ECOLI	1.00	target_target
sp|P0A7R1|RL9_ECOLI-sp|P0ACF4|DBHB_ECOLI	1.00	target_target
sp|P0A7V0|RS2_ECOLI-sp|P0ACF0|DBHA_ECOLI	1.00	target_target
sp|P0ACF0|DBHA_ECOLI-sp|P0AG63|RS17_ECOLI	1.00	target_target
sp|P0A6X7|IHFA_ECOLI-sp|P0ADZ4|RS15_ECOLI	1.00	target_target
sp|P0A9Q5|ACCD_ECOLI-sp|P0ABD5|ACCA_ECOLI	1.00	target_target
sp|P0A6X7|IHFA_ECOLI-sp|P0ACF4|DBHB_ECOLI	1.00	target_target
sp|P0ACF4|DBHB_ECOLI-sp|P0AG67|RS1_ECOLI	1.00	target_target
sp|P0A7R9|RS11_ECOLI-sp|P0AG67|RS1_ECOLI	1.00	target_target
sp|P0A7K6|RL19_ECOLI-sp|P0ACF0|DBHA_ECOLI	1.00	target_target
sp|P02359|RS7_ECOLI-sp|P0A7X3|RS9_ECOLI	1.00	target_target
sp|P0A7L0|RL1_ECOLI-sp|P45577|PROQ_ECOLI	1.00	target_target
