ProteinGroupID,ProteinGroup,Names,Descriptions,Sequence,Crosslinker,Score,isDecoy,isTT,isTD,isDD,PSM IDs,fdrGroup,fdr,ifdr,PEP,
412,P0ABY7,,,,,∞,false,true,false,false,pLink2_901,Between only,0.21497120921305182,NaN,0.0,0.6995241999999999
14,P43329,,,,,∞,false,true,false,false,pLink2_6,Between only,0.21497120921305182,NaN,0.0,0.4577331
728,Q9BVG4,,,,,∞,false,true,false,false,pLink2_3437,Between only,0.21497120921305182,NaN,0.0,0.4703075
710,decoy:P69441,decoy:,decoy:,,,∞,true,false,true,false,pLink2_3416,Between only,0.21497120921305182,NaN,0.0,0.48744339999999997
413,O95249,,,,,∞,false,true,false,false,pLink2_909,Between only,0.21497120921305182,NaN,0.0,0.7016411
416,P0A6M8,,,,,∞,false,true,false,false,pLink2_921;pLink2_1201;pLink2_1936;pLink2_980,Between only,0.21497120921305182,NaN,0.0,0.92532986
499,P0AAE8,,,,,∞,false,true,false,false,pLink2_1524,Between only,0.21497120921305182,NaN,0.0,0.8482151
280,Q9BYV8,,,,,∞,false,true,false,false,pLink2_395,Between only,0.21497120921305182,NaN,0.0,0.5816698
278,P0AB67,,,,,∞,false,true,false,false,pLink2_394,Between only,0.21497120921305182,NaN,0.0,0.5816236
266,P0AAU7,,,,,∞,false,true,false,false,pLink2_371,Between only,0.21497120921305182,NaN,0.0,0.5761533
541,P0DJG4,,,,,∞,false,true,false,false,pLink2_3434;pLink2_2005,Between only,0.21497120921305182,NaN,0.0,0.93431297
350,P76616,,,,,∞,false,true,false,false,pLink2_637,Between only,0.21497120921305182,NaN,0.0,0.6415084
550,P37007,,,,,∞,false,true,false,false,pLink2_2130,Between only,0.21497120921305182,NaN,0.0,0.94968609
566,P13500,,,,,∞,false,true,false,false,pLink2_2482,Between only,0.21497120921305182,NaN,0.0,0.98371914
267,P71229,,,,,∞,false,true,false,false,pLink2_378,Between only,0.21497120921305182,NaN,0.0,0.5782494
351,Q96LD1,,,,,∞,false,true,false,false,pLink2_640,Between only,0.21497120921305182,NaN,0.0,0.6422993
398,U3PVA8,,,,,∞,false,true,false,false,pLink2_816,Between only,0.21497120921305182,NaN,0.0,0.6822905
154,P0A817,,,,,∞,false,true,false,false,pLink2_1150;pLink2_531;pLink2_615;pLink2_1400;pLink2_1618;pLink2_1700;pLink2_2698;pLink2_158;pLink2_1970,Between only,0.21497120921305182,NaN,0.0,0.993506507
504,Q14916,,,,,∞,false,true,false,false,pLink2_1597;pLink2_2349,Between only,0.21497120921305182,NaN,0.0,0.97299298
659,decoy:P0A6E6,decoy:,decoy:,,,∞,true,false,true,false,pLink2_3377,Between only,0.21497120921305182,NaN,0.0,0.5532404
655,P0ABH7,,,,,∞,false,true,false,false,pLink2_3389;pLink2_3374,Between only,0.21497120921305182,NaN,0.0,0.5515578
230,P07118,,,,,∞,false,true,false,false,pLink2_350;pLink2_2532;pLink2_2666;pLink2_2709;pLink2_300;pLink2_1041;pLink2_1952,Between only,0.21497120921305182,NaN,0.0,0.993814114
684,P77243,,,,,∞,false,true,false,false,pLink2_3395,Between only,0.21497120921305182,NaN,0.0,0.5244097999999999
